id,name,Fee,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Meta de MQL,Entregas prazo,Entregas qualidade,Relacionamento,Flag calculada,Health Médio,Resultados,Objetivo Smart,KR 1,Realizado KR1,Pacing KR1,KR 2,Realizado KR2,Pacing KR2,KR 3,Realizado KR3,Pacing KR3,Qual Critério de MQL?,Qual Critério de SQL?,Replanejamentos Q3,Auditado,Nota MQL/Demanda,Justificativa MQL/Demanda,Nota Atrasos,Justificativa Atrasos,Nota Qualidade,Justificativa Qualidade,Nota Relacionamento,Justificativa Relacionamento,Nota Resultado,Justificativa Resultado,Flag média,Pontuação ponderada,Resumo Histórico (4 semanas),Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Gerente,Step,Total Media Plan,Verba Investida,Meta Media Plan,Google Media Plan,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato,Last CSAT Matriz (m/ano),CSAT atendimento,CSAT campanhas,CSAT Copy,CSAT Design,CSAT prazo,CSAT resultados,MHS,NPS,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato
143624,LEAO XIII MOTOS," R$  8.516,58 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,29/07/2026,FALSE,FALSE,TRUE,TRUE,🔴 DANGER,16,8,Atingir 120 vendas mensais ,10.000,10632,"106,32%",90%,100,"11111,11%","5,5","7,43","135,09%",Informa que possui um CPF sem restrição para solicitação de financiamento ou possui o valor do veículo e está no Maranhão e/ou Região ,Ficha aprovada no banco ,Não Precisa ser feito,Sim,4,Demanda forte: a linha mostra KR de leads acima da meta (10.632/10.000) e a ata registra 9.720 leads em julho com investimento 3% menor e 45% mais leads que junho. O gargalo deixou de ser geração e passou a ser conversão/aprovação/venda.,2,"Ekyte confirmou workspace 143624 com projetos ativos de Loop, mas sem tarefas planejadas vencidas no resumo atual. Ainda assim, a reunião registra impasses operacionais em CRM, tempo de resposta acima do ideal, LP pendente de validação e próximos passos críticos para treinamento, dados e auditoria.",2,"Qualidade em evolução, mas com travas: campanhas e criativos performam bem, porém há CRM indefinido, aprovações repetidas por CPF, necessidade de auditoria do atendimento, landing page inicial em validação e dependência de dados offline para otimização no Meta.",3,"Relacionamento colaborativo: Felipe, Leandro, Fran e equipe participaram, validaram próximos passos, aceitaram auditoria de atendimento, treinamento comercial, CRM e otimizações de campanha. Ainda há contexto de Loop, mas a reunião teve boa abertura para correção.",3,"Resultado positivo, ainda abaixo da ambição: a ata registra 85 vendas faturadas, ROAS 3,64, ticket médio de R$ 16.153,75 e aumento de aprovações; porém a meta segue em 120 vendas mensais, com conversão para venda abaixo do projetado e grande volume de fichas aprovadas não convertidas.",🟡 AMARELO,73,"2 avaliações válidas (registro anterior 31/07, nova transcrição 29/07). Notas M/A/Q/Rel/Res: 2/1/2/2/2 -> 4/2/2/3/3. Demanda e resultado melhoram bastante, com leads acima da meta e 85 vendas, mas CRM, tempo de resposta, LP e conversão ainda seguram a virada. Tendência: melhorando | 🟡 AMARELO histórico em recuperação | confiança média.",Saudável,Sim,Gestão de Alerta (Loop) - Leão XIII,27/07/2026,https://app.ekyte.com/#/projects/317783/edit,31/07/2026,,V1,"R$ 2.000,00","R$ 40.000,00",,,,,1,17/06/2026,17/06/2027,07/07/2026,,,,,,,,,"R$ 21.600.000,00",,,,,,Grupo Leão VIII - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1383121490
,CF MOTOS,,,,,,17/07/2026,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.000,00",,,,,,1519,,,,,,,,,,,,,,,,,,,,
129877,CÃOSELHEIRO," R$  6.052,00 ",Sim,Willian Garghetti,Bruno Assis,Samir Castro,24/07/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,Atingir R$ 45.500 de faturmaneto mensal,17.500,4511,"25,78%",1225,56,"4,57%",350,10,"2,86%",E-commerce,E-commerce,[O Cãoselheiro] Replanejamento - Quarter - Kloh & Co,,,,,,,,,,,,,,,Antecipação,Não,,,,,,V1,"R$ 2.000,00","R$ 1.140,58",,,,,5,09/02/2026,09/08/2026,03/07/2026,5,4,5,5,4,1,Pouco Desapontado,7,"R$ 6.000.000,00",MEDIUM,,E-commerce,Pet,,Cãoselheiro - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1291051043
131283,FORNERIA," R$  5.544,06 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,31/07/2026,FALSE,TRUE,TRUE,TRUE,🟡 CARE,23,10,Atingir R$ 34.000 de faturamento mensal,5.850,6490,"110,94%",585,468,"80,00%",194,185,"95,36%",E-commerce,E-commerce,Forneria - Replanejamento - Trimestral - Check-in Quarter - Kloh & Co,Ajustar,,,,,,,,,,,,,,Antecipação,Fazer,,27/07/2026,https://app.ekyte.com/#/projects/317789/edit,31/07/2026,,V1,"R$ 3.600,00","R$ 3.009,72",,,,,5,23/02/2026,17/08/2026,02/07/2026,,,,,,,,,"R$ 5.280.000,00",MEDIUM,,E-commerce,Alimentício,,Forneria Presidente - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1296855879
123780,RIO PET DA GÁVEA," R$  5.281,61 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,29/07/2026,TRUE,TRUE,TRUE,TRUE,🟢 SAFE,28,8,Atingir R$ 180 mil de faturamento no Q2,3.600,"3.531,12","98,09%",200,89,"44,50%",40,58,"145,00%","Região em que reside?
→ Gávea, Leblon, Ipanema
→ Lagoa ou J. Botânico
→ Outros bairros

Como é a relação do seu pet com outros cães?
→ Amigável
→ Tímido
→ Não convive em grupo

Para quando você planeja iniciar a rotina do seu pet?
→ Esta semana
→ Próximos 30 dias
→ Apenas pesquisando",Solicitou Proposta,RioPet - Replanejamento trimestre - Kloh & Co,Sim,3,"Demanda consistente: a linha mostra KR1 em 98,09% e KR3 em 145%, e a ata registra campanhas ativas em Meta/Google, influenciador rodando, novas LPs e calendário editorial trimestral. Ainda há ajuste de CRM e validação financeira para fechar a leitura.",2,"Ekyte confirmou workspace 123780 com projetos ativos, incluindo Social Boost, RioPet Gávea e Loop, sem tarefas planejadas vencidas no resumo atual. A ata ainda traz pendências operacionais: mídia kit, cotação Shopping Leblon, fotos para LP, validação CRM e resultados do influenciador.",2,"Qualidade em ajuste controlado: houve troca de imagem do blog, revisão de fotos da LP de banho e tosa, tarjas na vinheta, validação do CRM e planejamento de LP de fisioterapia. Não há falha crítica, mas há várias correções de conteúdo e dados antes de escalar.",3,"Relacionamento saudável: Rosana/Vanessa participaram, aprovaram calendário editorial, alinharam validação financeira e deram direcionamentos claros sobre fotos, mídia e LPs. A linha mantém NPS 10 e a reunião foi colaborativa.",3,"Resultado positivo, ainda em validação: a ata registra 6 vendas de aquisição no Meta, 12 de retenção, 8 vendas de aquisição no Google e R$ 32 mil de retenção no Google; porém os números precisam ser conciliados com Vanessa/Felipe e a meta trimestral de R$ 141 mil ainda está em andamento.",🟡 AMARELO,69,"2 avaliações válidas (registro anterior 31/07, nova transcrição 29/07). Notas M/A/Q/Rel/Res: 2/1/2/3/2 -> 3/2/2/3/3. Demanda e resultado melhoram com vendas em Meta/Google e meta trimestral definida; atrasos/qualidade seguem com pendências de CRM, LP, fotos e cotações. Tendência: melhorando | 🟡 AMARELO histórico em recuperação | confiança média.",Saudável,Não,,,,,,V2,"R$ 3.600,00","R$ 2.892,03",,,,,8,14/11/2025,,01/07/2026,,,,,,,,,"R$ 720.000,00",TINY,,Inside Sales,Pet,,RIOPET - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1255776103
0,PERFOMANCELAB," R$  4.703,00 ",Sim,Willian Garghetti,Bruno Assis,Samir Castro,19/05/2026,FALSE,TRUE,TRUE,TRUE,🔴 DANGER,19,6,Atingir 14 MQLs por mês até 30 de julho,60,17,"28,33%",3362,1100,"32,72%",1%,"0,60%","60,00%","Qual tipo de serviço sua empresa presta?
→ Segurança Patrimonial / Vigilância
→ Portaria / Controle de Acesso
→ Limpeza / Facilities
→ Segurança Eletrônica
→ Outro

Qual a o seu cargo atual?
→ Dono / Sócio / Diretor
→ Gerente / Coordenador Operacional
→ Supervisor
→ DP / RH
→ Outro cargo

Quantos colaboradores sua empresa possui aproximadamente?
→ Abaixo de 50
→ 50 - 250
→ 251 - 500
→ 501 - 1000
→ 1001 - 5000
→ + 5000",Propostas enviadas,,,,,,,,,,,,,,,,Aviso Prévio,Fazer,,,,,,V2,"R$ 7.000,00","R$ 5.781,21",,,,,7,01/01/2026,05/07/2026,,,,,,,,,,,,,SaaS,Tecnologia / SaaS,,Performancelab - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1261813527
114957,EMPORIUM DAS ALIANÇAS," R$  4.000,00 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,30/07/2026,TRUE,TRUE,TRUE,TRUE,🟢 SAFE,30,10,Atingir R$ 150 mil  mensal via canal digital ,70,105,"150,00%",1000,724,"72,40%",2%,"2,24%","112,00%",E-commerce,E-commerce,[Emporium] Check-in Quarter - Kloh & Co,Sim,4,"Demanda forte e qualificada: trimestre com faturamento crescente, Meta Ads/remarketing gerando 328 conversas, 101 vendas e julho já em R$ 146 mil frente à meta de R$ 150 mil.",3,"Ekyte validou workspace 114957 e projeto ativo sem tarefas planejadas vencidas; há muitas ações novas no plano, mas com responsáveis claros e próximos passos definidos.",3,"Qualidade bem estruturada: análise por canal, CRM, funil, criativos, retenção, recompra, segmentação por praça e proposta de e-mail marketing; ainda falta mapear vendas diretas do site.",3,"Relacionamento positivo: Leandro participou, validou mudanças de criativo, pediu proposta de e-mail marketing e assumiu ações de conversão/report de faturamento.",4,"Resultado forte: abril a junho cresceram de R$ 114 mil para R$ 132 mil, julho já chegou a R$ 146 mil e faltavam apenas duas vendas para bater R$ 150 mil no mês.",🟢 VERDE,90,"2 avaliações válidas (31/07/2026, 30/07/2026). Notas M/A/Q/Rel/Res: 4/3/2/3/3 -> 4/3/3/3/4. Demanda e prazo seguem fortes; qualidade melhora com análise de funil, CRM e retenção, e resultado avança para meta de R$150 mil quase batida. Tendência: melhorando | 🟢 VERDE histórico (recuperação confirmada) | confiança média.",Antecipação,Não,,,,,,V2,"R$ 6.000,00","R$ 8.322,60",,,,,10,10/09/2025,,,,,,,,,,,"R$ 1.200.000,00",SMALL,,E-commerce,E-commerce,,Emporium - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1211293988
0,LIFE OPTION," R$  4.500,00 ",Sim,Willian Garghetti,Bruno Assis,Samir Castro,19/05/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviso Prévio,Não,,,,,,V1,"R$ 4.000,00",,,,,,13,25/06/2025,30/05/2026,,,,,,,,,,,,,E-commerce,E-commerce,,Life Option - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1246926304
122098,BEITY," R$  5.018,61 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,31/07/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,14,1,Atingir 27 mil de faturamento mensal ,80,,,200,218,"109,00%","8,5","4,72","55,53%",,,,,,,,,,,,,,,,,,Saudável,Não,,,,,,V1,"R$ 2.300,00","R$ 1.759,14",,,,,13,01/07/2025,,03/07/2026,,,,,,,,,,,,Inside Sales,Móveis,,Beity - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1246339210
122099,BELA ÓPTICA," R$  4.600,39 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,29/07/2026,TRUE,TRUE,TRUE,TRUE,🟡 CARE,25,5,Atingir 12.562 de faturamento mensal ,30,78,"260,00%",60,192,"320,00%","41,66","11,68","28,04%",Região em que reside / Lucas Verde e Região / Pediu foto de produto,,Bela Óptica - Check-in Quarter - Julho - Kloh & Co,Sim,4,"Demanda qualificada forte: funil citado com 45% de conversão para MQL, 20% para oportunidade e base de 3.500 leads para reativação da Promodei.",3,"Ekyte consultado no workspace 122099/projeto 295841 sem tarefas ativas atrasadas; na reunião há pendências operacionais com próximos passos definidos (SLA, automação, LP e hospedagem), sem atraso crítico.",3,"Boa qualidade estratégica: automação de qualificação, critérios por região/interesse e categorização de consertos no CRM; ainda depende de testes e alinhamento final de SLA.",3,"Relacionamento colaborativo: Cátia/Bela Óptica validou decisões, alinhou equipe e aceitou ajustes de atendimento/CRM sem conflito relevante.",4,Resultado em melhora: faturamento citado em R$40 mil no mês vs R$27 mil anterior e 7% de conversão final; ainda há gargalos de funil para otimizar.,🟢 VERDE,90,"2 avaliações válidas (31/07 registro anterior; 29/07 nova transcrição). Notas M/A/Q/Rel/Res: 4/2/2/3/2 -> 4/3/3/3/4. Demanda e relacionamento seguem fortes; atrasos/qualidade melhoram com automação e CRM, e resultado avança para R$40 mil, ainda com SLA/LP pendentes. Tendência: melhorando | 🟡 AMARELO histórico em recuperação | confiança média.",Saudável,Não,,,,,,V1,"R$ 2.500,00","R$ 1.245,09",,,,,20,05/11/2024,,03/07/2026,,,,,,,,,,,,Inside Sales,Óptica,,Bela Óptica - [Growth Pack - V26],,
0,DUE STUDIO PERSONAL," R$  2.897,00 ",Sim,Willian Garghetti,Bruno Assis,Samir Castro,19/05/2026,FALSE,FALSE,TRUE,TRUE,⚫ CRITICAL,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviso Prévio,Não,,,,,,V1,"R$ 4.500,00","R$ 1.363,17",,,,,10,01/10/2025,08/07/2026,,,,,,,,,,,,,Inside Sales,,,Due Personal - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1246345675
123214,ATACADÃO BOAVENTURA ," R$  3.197,00 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,31/07/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,3,0,,,,,,,,,,,,,Não Precisa ser feito,,,,,,,,,,,,,,,Antecipação,Não,,,,,,V1,"R$ 3.000,00","R$ 0,00",,,,,8,13/11/2025,,,,,,,,,,,,,,,,,Atacadão BoaVentura - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1288360560
127181,INSTITUTO CAPIXABA," R$  8,00 ",Não,Willian Garghetti,Bruno Assis,Samir Castro,31/07/2026,FALSE,TRUE,TRUE,TRUE,🟡 CARE,21,8,Atingir 8.000 de faturamento mensal ,10,6,"60,00%",50,28,"56,00%",30,"10,34","34,47%",Região em que reside (Espirito Santo) ,Agendamento,Projeção até o fim do ano,Fazer,2,"Há volume relevante e evolução parcial: a ata cita 263 leads e a linha mostra 50% do KR1, 44% do KR2 e 37,8% do KR3, mas a Meta de MQL segue FALSE e existe gargalo de qualificação/conversão no CRM.",2,"Ekyte localizou o workspace 127181 e o projeto Instituto Capixaba com 35 tarefas não planejadas e nenhuma tarefa planejada vencida; a ata ainda traz muitas pendências de LP, campanhas, CRM, pixel, conta de anúncios e automação.",2,"As campanhas e a landing page avançaram, mas há ajustes importantes: orçamento acima do planejado, necessidade de novos criativos, segmentação geográfica, tracking/pixel, uso estratégico do CRM e padronização de dados de tratamentos.",3,"Sarha participou ativamente, trouxe insumos de municípios, conteúdo e conversão, validou ajustes de verba e CRM; a linha também marca Relacionamento TRUE, sem sinal de quebra de confiança na ata.",2,"Há resultado parcial: a linha registra 7 resultados e a ata cita R$ 9.200 em junho, acima da meta de R$ 8 mil, mas no mês atual há 5 agendamentos sem registro de tratamento/faturamento e a conversão final ficou perto de 3%.",🟡 AMARELO,59,,Antecipação,Fazer,,27/07/2026,https://app.ekyte.com/#/projects/317792/edit,31/07/2026,,V1,"R$ 3.000,00","R$ 2.300,38",,,,,6,09/01/2026,,02/07/2026,,,,,,,,,,,,Inside Sales,,,Instituto Capixaba - [Growth Pack - V26],,https://app.pipefy.com/open-cards/1279455316
