id,Nome do Projeto,Churn realizado,Modalidade de Vendas,Fee,Step,Coodernador,Account,GT,Data da Atualização,Nota MQL/Demanda,Justificativa MQL/Demanda,Nota Atrasos,Justificativa Atrasos,Nota Qualidade,Justificativa Qualidade,Nota Relacionamento,Justificativa Relacionamento,Nota Resultado,Justificativa Resultado,Flag média,Pontuação ponderada,Resumo Histórico (4 semanas),Resultados,Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Coordenador?,Data da Ultima auditoria?,Tem CRM?,Total Media Plan,Meta Media Plan,Google Media Plan,Forma de pagamento Meta,Forma de pagamento Google,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato / Aviso prévio,Last CSAT Matriz (m/ano),Geral,CSAT atendimento,CSAT campanhas,CSAT Copy,CSAT Design,CSAT prazo,CSAT resultados,MHS,NPS,Tier,ARR,GMV / Mensal,Cidade,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato,Planjamento do Q3,Drive do Cliente,Column 59
1080125318,POLIPISO DO BRASIL LTDA,Não,Inside Sales," R$  4.500,00 ",V2,Cadu,Andrius ,Felipe ,31/07/2026,4,Meta de 230 MQL/mês sendo batida (596 MQLs no último quarter); geração saudável.,1,"4 tarefas ativas vencidas na workspace, máx. 3 dias de atraso.",3,Nenhum pedido de refação identificado no Loop de 28/07.,2,"Apenas 2 check-ins ROPRE confirmados no mês via Agenda (23/07, 31/07) com cliente presente (rafaela@, jose.augusto@, vendas1@polipiso.com.br) — abaixo do ritmo semanal esperado. Nenhuma transcrição de julho localizada (só um anexo reciclado de 2024).",2,"Gargalo severo MQL→SQL (~3,6%; só 20 de 596 MQLs viraram oportunidade); 9 vendas no quarter, faturamento ~31% da meta anual — abaixo do potencial apesar da boa geração.",🔴 VERMELHO,63,"2 avaliações válidas confirmadas via Agenda (23, 31/07), abaixo da cadência semanal esperada. Geração de MQL forte o mês inteiro (596 MQLs no quarter), mas gargalo severo na conversão para venda (~3,6% MQL→SQL) permanece sem solução. Nenhuma transcrição de julho localizada. Tendência: indeterminada (falta transcrição) | flag histórica: vermelha (por atrasos) | confiança: baixa.",10,Saudável,Não,Gestão de Alerta (Loop),-,eKyte,-,Não,,Sim,"R$ 5.000,00","R$ 4.000,00","R$ 1.000,00",Boleto,Boleto,,,30,22/01/2024,60 dias,06/2026,4,3,4,5,5,5,5,Pouco Desapontado,9,LARGE,"R$ 96.000.000,00","R$ 8.000.000,00","Distrito Industrial, Descalvado",Indústria,MC e Breakeven | Polipiso ,Polipiso | GrowthPack V26 (Inside Sales),,Link do Contrato,Pendente,250. Polipiso,
,SLEEP HOUSE,Não,Inside Sales," R$  12.187,30 ",V1,Cadu,Andrius ,Felipe ,31/07/2026,1,Nenhum dado de funil discutido; CRM ainda não configurado (projeto em reestruturação).,1,"3 tarefas ativas vencidas na workspace, máx. 9 dias de atraso.",3,"Sem pedido de refação — sem entrega avaliável, projeto em reestruturação.",2,"2 check-ins ROPRE confirmados no mês (24/07, 29/07) com cliente presente. Transcrição de 29/07: metas de vendas de R$30.000, foco em Piracicaba, CRM sendo aprimorado para rastrear perdas — estruturação ativa, mas cadência abaixo do semanal completo.",1,Meta sendo renegociada (R$40k→R$30k/mês); nenhum resultado de venda apresentado no período.,🔴 VERMELHO,43,"2 avaliações válidas (24, 29/07). Projeto ainda em fase de reestruturação: CRM travado por dependência do e-mail do cliente, meta sendo renegociada de R$40k para R$30k/mês. Tendência: indeterminada | flag histórica: vermelha | confiança: baixa.",5,Antecipação,Sim,Gestão de Alerta (Loop),17/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 5.500,00","R$ 4.500,00","R$ 1.000,00",Cartão,Cartão,,,2,11/05/2026,6 meses,-,4,5,5,4,4,4,4,Muito desapontado,8,SMALL,"R$ 2.000.000,00","R$ 166.666,67","Americana, Piracicaba",Varejo ,MC e Breakeven | Sleep House,GT precisa criar e atualizar,,Link do Contrato,Link da apresentação,684. SLEEP HOUSE,
,APOENA,Não,Inside Sales," R$  3.082,75 ",V1,Cadu,Andrius ,Felipe ,31/07/2026,2,"CPL em R$28 vs meta R$23 (~22% acima), puxado por campanha de LP que não performou.",2,"2 tarefas ativas vencidas na workspace, máx. 4 dias de atraso.",3,Sem pedido de refação.,3,"Cadência confirmada: 5 reuniões no mês (08,15,22,27,29/07), sempre com decisores presentes (eltz2004, gringschristiano, salvadorsam2010). Transcrição de 29/07: 28 leads gerados, 23 no funil, SDR dedicado (Vinicius) assumindo qualificação com SLA de 15min — decisão estratégica tomada em conjunto, sem atrito.",1,Nenhum número de reserva/ocupação fechada apresentado no período (meta é elevar ocupação de 8% para 12% em 90 dias).,🔴 VERMELHO,59,"5 avaliações válidas (08,15,22,27,29/07). Time comercial reestruturado (SDR dedicado, SLA de 15min) em resposta direta ao gargalo identificado — ação já em andamento, mas resultado (reservas fechadas) ainda não apareceu. CPL segue acima da meta. Tendência: melhorando (operacional) | flag histórica: vermelha (por resultado) | confiança: alta.","4,58",Saudável,Não,Gestão de Alerta (Loop),-,eKyte,,Não,,Não,,,,,,,,0,08/07/2026,6 meses,-,,,,,,,,,,,,"R$ 0,00",,Auditório,,,,Link do Contrato,-,737. AUDITÓRIO APOENA,
,SLEEP HOUSE IPIRANGA,Não,Inside Sales," R$  8.425,00 ",V1,Cadu,Andrius ,Felipe ,31/07/2026,2,"Fase de onboarding/pré-lançamento (metodologia DPMV), sem funil ativo ainda.",1,"3 tarefas ativas vencidas na workspace, máx. 3 dias de atraso.",2,Sem entrega ainda avaliável — onboarding em andamento.,3,"Cadência excelente: 7 reuniões confirmadas no mês (06,15,17,22,23,31/07), sempre com o cliente presente (wilson.buchala, carlabuchala). Transcrição de 31/07 mostra planejamento estratégico maduro: meta de 2% de market share, definição de competências dos gerentes, automação de distribuição de leads, governança via reuniões mensais.",3,Sem meta de Resultado pactuada — nota fixada em 3 até definição formal de meta (onboarding).,🔴 VERMELHO,59,"7 avaliações válidas (06,15,17,22,23,31/07), a maior cadência confirmada do lote. Onboarding evoluindo bem: metodologia DPMV concluída (Marketing, Mercado, Comercial), meta de 2% de market share definida, governança mensal estabelecida. Único ponto crítico é Atrasos no Ekyte. Tendência: melhorando (relacionamento e estruturação) | flag histórica: vermelha (só por atrasos) | confiança: alta.",0,Antecipação,Sim,Gestão de Alerta (Loop),17/07/2026,eKyte,24/07/2026,Não,,Sim,Ainda n foi definido,Ainda n foi definido,Ainda n foi definido,Ainda n foi definido,Ainda n foi definido,,,1,23/06/2026,12 meses,-,,-,-,-,-,-,-,-,-,MEDIUM,"R$ 9.600.000,00","R$ 800.000,00",Ipiranga - SP,Varejo ,GT precisa criar e atualizar,GT precisa criar e atualizar,,Link do Contrato,Link da apresentação,717. SLEEP HOUSE IPIRANGA,
,HIPER CHECK,Não,Inside Sales," R$  5.149,57 ",V1,Cadu,Andrius ,Felipe ,31/07/2026,2,"Meta de ~35 MQL/mês, entregando 22 (63% do pacing).",2,"2 tarefas ativas vencidas na workspace, máx. 9 dias de atraso.",3,Sem pedido de refação.,3,"Cadência confirmada: 4 check-ins no mês (03,16,21,30/07), sempre com cliente presente (andressa@, administrativo@hipercheck.com.br). Transcrição de 30/07: evolução operacional real (24 de 28 clientes com tarefas programadas no CRM), campanhas ajustadas (mensagem→formulário), migração para CRM conversacional com WhatsApp oficial.",1,"Metas genéricas (foco em volume, sem TCV/faturamento claro); nenhum número de resultado comercial apresentado no período.",🔴 VERMELHO,59,"4 avaliações válidas (03,16,21,30/07). Evolução operacional real: 24 de 28 clientes já com tarefas programadas no CRM, migração para WhatsApp oficial em andamento. MQL segue abaixo do pacing (63%) e sem número de resultado comercial claro. Tendência: melhorando (operacional) | flag histórica: vermelha (por resultado) | confiança: alta.",10,Antecipação,Sim,Gestão de Alerta (Loop),-,eKyte,-,Não,,Sim,"R$ 3.000,00","R$ 3.000,00","R$ 0,00",Boleto,Boleto,,,3,16/04/2026,6 meses,-,4,5,3,4,4,5,4,Pouco Desapontado,8,SMALL,"R$ 3.000.000,00","R$ 250.000,00",Vitória da Conquista,Serviços,MC e Breakeven | Hiper Check,GT precisa criar e atualizar,,Link do Contrato,Link da apresentação,666. HIPER CHECK,
1295927320,ST1 INTERNET,Sim,Inside Sales," R$  5.149,57 ",V2,Cadu,Andrius ,Felipe ,17/07/2026,FALSE,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,10,,,,,,,10,Antecipação,Não,,,,,Não,,Sim,"R$ 12.000,00","R$ 5.500,00","R$ 6.500,00",Cartão,Cartão,,,6,30/01/2026,6 meses ,-,-,-,-,-,-,-,-,-,-,MEDIUM,"R$ 7.000.000,00","R$ 583.333,33",São Luís ,Provedor de internet ,[ST1 INTERNET] CAC e Breakeven - LTV.xlsx,ST1 Internet | GrowthPack V26 (Inside Sales),,Link do Contrato,Link da apresentação,604. ST1 INTERNET,
1280441490,FAMERTEC,Não,Inside Sales," R$  5.500,00 ",V1,Cadu,Andrius ,Felipe ,31/07/2026,1,Projeto em standby por indefinição de escopo; sem funil ativo no momento.,1,"5 tarefas ativas vencidas na workspace, máx. 3 dias de atraso.",3,"Social media em over-delivery, sem reclamação.",2,"Agenda confirma 5 reuniões no mês (02,09,14,23,30/07) com contatos reais (administrativo@, engenharia@famertec.com.br) — cadência operacional cumprida. Mas o decisor (dono, Rafael) segue ausente das decisões estratégicas de escopo, como já indicava o Loop. Não foi possível ler transcrição de julho (anexo do calendário está preso a um evento de janeiro).",1,Projeto em standby; nenhum resultado apresentado.,🔴 VERMELHO,43,"5 avaliações válidas (02,09,14,23,30/07). Cadência operacional cumprida com a equipe (administrativo, engenharia), mas decisor (dono, Rafael) segue ausente das decisões estratégicas de escopo — migração para ABM ainda travada por essa ausência. Tendência: estável (travado pela ausência do decisor) | flag histórica: vermelha | confiança: média (sem transcrição de julho para confirmar conteúdo).",0,Antecipação,Sim,Gestão de Alerta (Loop),17/07/2026,eKyte,24/07/2026,Não,,Sim,"R$ 3.700,00","R$ 500,00","R$ 3.200,00",Boleto,Boleto,,,6,08/01/2026,60 dias,06/2026,-,-,-,-,-,-,-,-,-,SMALL,"R$ 1.500.000,00","R$ 125.000,00",Flores da Cunha ,Indústria,MC e Breakeven | Famertec,[Growth Pack 3.0] - Famertec,,Link do Contrato,Link da apresentação,455. FAMERTEC,
,GSOL,Sim,Inside Sales," R$  9.797,00 ",V1,Cadu,Andrius ,Felipe ,22/06/2026,FALSE,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,10,,,,,,,10,Saudável,Não,,,,,Não,,Não,"R$ 6.000,00","R$ 5.000,00","R$ 1.000,00",-,-,,,1519,,-,-,,-,-,-,-,-,-,-,-,SMALL,"R$ 2.400.000,00","R$ 200.000,00",Rio Janeiro,SaaS ,,N/A,,N/A,,,
,SUA CASA NA PLANTA,Sim,Inside Sales," R$  6.273,27 ",V1,Cadu,Andrius ,Felipe ,24/07/2026,TRUE,TRUE,TRUE,TRUE,TRUE,🔴 DANGER,20,,,,,,,0,Antecipação,Sim,Gestão de Alerta (Loop),17/07/2026,eKyte,24/07/2026,Não,,Não,"R$ 20.000,00","R$ 0,00","R$ 0,00",-,-,,,1,15/06/2026,6 meses ,-,,-,-,-,-,-,-,-,-,MEDIUM,"R$ 25.200.000,00","R$ 2.100.000,00",Passo Fundo,real state,GT precisa criar e atualizar,GT precisa criar e atualizar,,Link do Contrato,Link da apresentação,707. SUA CASA NA PLANTA,
1262513696,CONNTA CRÉDITO,Não,Inside Sales," R$  7.318,81 ",V1,Cadu,Daniel ,Juliano,31/07/2026,4,77 MQLs no mês vs meta de 55 (140% do pacing).,1,"8 tarefas ativas vencidas na workspace, máx. 5 dias de atraso.",3,Sem pedido de refação.,3,"Cadência excelente: 5 check-ins confirmados no mês (01,08,15,22,29/07), sempre com cliente presente. Reuniões colaborativas e sem atrito em todas as ocasiões.",1,"Resultado financeiro negativo em ~R$7 mil no mês (faturamento não cobre fee + mídia). Transcrição de 29/07 sinaliza melhora ('desempenho de julho atingiu metas importantes, destaque para campanhas de sindicatos'), mas sem número financeiro específico para confirmar reversão — mantendo nota crítica até confirmação.",🔴 VERMELHO,63,"5 avaliações válidas (01,08,15,22,29/07), cadência excelente e sem atrito em nenhuma. MQL seguiu muito acima da meta o mês inteiro (140% do pacing), mas resultado financeiro negativo (~R$7 mil) persiste — sinal de melhora relatado em 29/07 ('metas importantes atingidas'), porém sem número específico para confirmar reversão. Tendência: mista (MQL forte, resultado ainda incerto) | flag histórica: vermelha (por atrasos e resultado) | confiança: média.",5,Saudável,Não,Gestão de Alerta (Loop),-,eKyte,-,Não,,Sim,"R$ 1.500,00","R$ 1.500,00","R$ 0,00",Pix,N/A,,,8,29/11/2025,6 meses,06/2026,5,5,5,5,5,5,5,Muito desapontado,9,SMALL,"R$ 3.688.428,00","R$ 307.369,00",São Paulo/SP,Empréstimo consignado,CAC Mapeado | Connta Credito ,Connta Crédito |  GrowthPack V26 (Inside Sales),,Link do Contrato,Link da apresentação,581. CONNTA CRÉDITO,
