id,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Flag calculada,Fee,LT ,Tempo de Contrato,Data de vencimento do contrato,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Status,Prioridade,Produto 2,Produto 3,Plano de Ação,Coluna 23,Coluna 24
1080126112,BACKYARDZ COMPANY,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO,#REF!,18,Indefinido,31/05/2026,,,#REF!,,,Accont Planning,Social Media ,S/ Prioridade,S/ Prioridade,"Cesar Gouveia, website da cliente precisa ser evidenciado que está finalizado. 

Precisamos seguir para outra forma de agregar valor aqui. Tu vai:

- Abrir uma task de análise/ estratégia e enxolval de criativos SM para Ana e Giovanna apresentarem para a cliente. Como se fosse na EE.

16/07/2026 ,  às 14h",,
1214800479,INTILE DESIGNS,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,#REF!," R$  8.960,00 ",10,Indefinido,31/05/2026,,,"New Jersey, USA",,,Accont Planning,Manutenção Site,S/ Prioridade,S/ Prioridade,"Fazer uma limpeza do site dela.

Conversar com o time tech e Letícia o valor desse one time. 

Letícia amanhã",,
1250884918,RS CONSTRUCTION AND LANDSCAPING INC,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  5.357,50 ",8,Indefinido,31/05/2026,,," Framingham, MA, Estados Unidos",,,Accont Planning,Site/Ecomm,Social Media ,S/ Prioridade,"https://rs-construction-cro-audit.vercel.app/ 
Apresentar para o cliente hoje.

Agendar com a Letícia Cardarello",,
1269971530,ALPHA AUTOMOTIVE SALES LLC(ALPHA AUTOMOTIVE SALES LLC),Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  6.160,00 ",7,Indefinido,15/06/2026,,,"Orlando, Miami",,,Accont Planning,Site/Ecomm,S/ Prioridade,S/ Prioridade,"Manutenção do Website.

Apresentar para o cliente o que foi alterado e melhorado no site dele. Mostrar o total de horas que foi gasto pela equipe, e que fizemos isso como overdelivery. 

Trazer para ele a importância de uma manuteção constante e que podemos fazer isso. 
Trazer uma lista de V 2.0 do site dele e que fariamos isso na manutenção",,
,Optus Tecnologia,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  9.110,76 ",3,12 meses,15/04/2026,,,"Sinop, MT",,,Accont Planning,Social Media ,Alavancagem C.,S/ Prioridade,"Cesar montar um relatório geral do projeto e pedir para o stakeholder comercial participar junto.

Quinta-feira às 17h

Relatorio_Comercial_Optus_SPICED_V4_Direto",,
,CLICK PETRÓLEO E GÁS,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  5.017,53 ",2,6 meses,15/10/2026,,,"Rio de Janeiro, RJ",,,Accont Planning,Aumento Escopo,S/ Prioridade,S/ Prioridade,Pensar no escopo do profissional e do que pode ser feito.,,
,URANO TECNOLOGIA LTDA,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  13.823,26 ",2,12 meses,04/05/2027,,,"Canoas, RS",,,Accont Planning,Aumento Escopo,S/ Prioridade,S/ Prioridade,Estrutura a implementação da Urano e entende o gasto de horas que será realizado dentro do planejamento,,
,Climber RMS,,,,,,🟡 AMARELO," R$  6.469,50 ",14,Indefinido,,,,"Lisboa, Portugual",,,Accont Planning,Aumento Escopo,,,"Monta um planejamento de conteúdo com cronograma executável. puxa a Ana como apoio
Estipula o número de peças por mês / horas que precisaríamos. E aí vamos para a mesa de negociação",,
,MetalForte,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🟡 AMARELO," R$  6.469,50 ",9,Indefinido,,,,"Lisboa, Portugual",,,Accont Planning,Profissional CRM,S/ Prioridade,S/ Prioridade,Dashboard de Dados / Mídia. Temos que ver a expectatvia do cliente e como podemos atender. Se vamos ou não cobrar.....se será uma ferramenta...etc...,,
,MetalForte E-comm,Não,Giullio Barbosa,Cesar Gouveia,Matheus Eduardo,05/06/2026,🔴 VERMELHO," R$  5.886,00 ",3,Indefinido,25/04/2026,,,"Goiânia, GO",,,Accont Planning,S/ Prioridade,S/ Prioridade,S/ Prioridade,,,
,Global Segurança em Maquinas e Equipamentos ,Não,Giullio Barbosa,Bruna Carvalho,Leonardo,05/06/2026,🔴 VERMELHO," R$  5.434,00 ",4,12 meses,10/04/2027,,,"Goiânia, GO",,,Accont Planning,S/ Prioridade,S/ Prioridade,S/ Prioridade,,,
