ok ,name,Churn realizado,Coordenador,Account,GT,Data Atualização dos Dados,Meta de MQL,Entregas prazo,Entregas qualidade,Relacionamento,Flag calculada,Health Médio,Resultados,Objetivo Smart,KR 1,Realizado KR1,Pacing KR1,Definição de MQL,KR 2,Realizado KR2,Pacing KR2,KR 3,Realizado KR3,Pacing KR3,Plano Ação,Definição de MQL,Realizado KR3,Pacing KR3,Link Replanejamento,Customer Care Status,Tem Loop Aberto,Link do Loop (doc),Start Plano,Link projeto Ekyte,Deadline Plano,Auditado pelo Gerente,Step,Fee,Total Media Plan,Meta Media Plan,Google Media Plan,Saldo em Conta Meta,Saldo em Conta Google,LT ,Data de início do contrato,Data de vencimento do contrato,Last CSAT Matriz (m/ano),CSAT atendimento,CSAT prazo,CSAT resultados,CSAT Copy,CSAT Design,CSAT campanhas,MHS,NPS,ARR,Tier,Cidade,Modalidade de Vendas,Segment,Link CAC Mapeado,Link do Growthpack,Link PIC,Link Contrato
,NEW MOBLLY MOVEIS EM GERAL LTDA,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,FALSE,FALSE,FALSE,TRUE,⚫ CRITICAL,10,7,"Gerar R$266.000,00 de faturamento","R$ 267.000,00",203.358,"76,16%",,"8,5","6,63","78,00%",10000,,,"- Criar LPs segmentadas por nicho;
- Usar criativos ligados aos negocios que mais geram ticket.
- Formulario nativo com as informações do CRM voltando ",,8100,"81,00%",https://chimerical-dodol-e68646.netlify.app/,Antecipação,Não,Relatório de Gestão de Alerta - New Moblly - 10-07-2026,10/07/2026,https://app.ekyte.com/#/projects/314287/edit,15/07/2026,Sim,V2," R$  5.077,00 ","R$ 8.945,00","R$ 6.495,00","R$ 2.500,00",,,54,22/04/2022,22/10/2026,01/07/2026,5,4,2,3,3,3,,6,,,São Paulo- SP,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1080125545?title=new
,GB INSURANCE GROUP LTDA,Não,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,TRUE,TRUE,TRUE,TRUE,🔴 DANGER,20,0,"Gerar R$15.842,00 de lucro bruto","R$ 15.842,00",752,"4,75%",,180,280,"155,56%",9,,,"- Mudança no CRM - Contato futuro; ✅
- Mudança no nosso SLA; ✅
- Cuidar para não gastar demais nos novos criativos e não focar na usina;
- Garantir que o atendimento não tenha mudança por conta da nova pergunta.
- Criar um plano para integradores.",,1,"11,11%",,Antecipação,Não,,,,,Não,V2," R$  6.352,00 ","R$ 4.500,00","R$ 4.500,00",,,,18,27/06/2025,27/12/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1169749991?title=gb
,Climber RMS,Sim,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,TRUE,TRUE,FALSE,FALSE,🟡 CARE,22,10,Gerar 20 MQLs no mês,"R$ 20,00",13,"65,00%",,20,22,"110,00%",378,,,,,338,"89,42%",,Saudável,Não,,,,,,V2," R$  6.469,50 ","R$ 7.672,00","R$ 4.868,00","R$ 2.803,00",,,,30/04/2025,30/10/2026,,,,,,,,,10,,,,SaaS,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1141455640?title=climber
,SANVIMAX,Não,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,FALSE,TRUE,TRUE,FALSE,⚫ CRITICAL,10,0,"Gerar R$34.000,00 de faturamento mês","R$ 34.000,00",0,"0,00%",,,,,,,,,,,,,Tratativa,,,,,,,V2," R$  4.900,00 ","R$ 2.800,00","R$ 2.400,00","R$ 400,00",,,,23/05/2025,23/11/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1149371827?title=sanvimax
,FIMAQ,Sim,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,FALSE,FALSE,FALSE,FALSE,⚫ CRITICAL,0,0,"Gerar R$43.600,00 de faturamento mês","R$ 43.600,00",0,"0,00%",,,,,,,,,,,,,Tratativa,,,,,,,V2," R$  4.596,00 ","R$ 200,00","R$ 200,00",,,,,20/03/2025,,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1102514683?title=fimaq
,TEM DISNEY EM PARIS,Não,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,TRUE,TRUE,TRUE,TRUE,🟡 CARE,21,1,Fazer 20 vendas,"R$ 20,00",3,"15,00%",,,,,,,,"- Jogar o valor do google ads para a Bio até destravar o tiktok;
- Calcular o CSQL da campanha com verificação de numero para ver se faz sentido comparado com outras frentes;
- Teste forms com o whatsapp no final.",,,,,Tratativa,,,,,,,V1," R$  4.025,81 ","R$ 3.300,00","R$ 2.200,00",,,,,03/11/2025,03/11/2026,,,,,,,,,,,,,Inside Sales,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1266750125?title=tem%20disney
,CASA DUE HAIR CONCEPT,Não,Felipe Gonçalves,Jaqueline Ventura,Wesley Elioenai,03/08/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,"Gerar R$ 9.000,00 de faturamento mês","R$ 9.000,00",0,"0,00%",,,,,,,,"- Fazer disparo para a base com a promoção do mês;
- Resolver o traqueamento da campanha de mensagem.
- Por que diminui tantos os leads do google ads?
- Foco em mega
- Nova landing page para teste a/b
- Participação de eventos",,,,https://ornate-swan-ae27ff.netlify.app/,Tratativa,,,,,,,V3," R$  5.117,84 ","R$ 2.000,00","R$ 1.000,00","R$ 1.000,00",,,,28/11/2025,28/11/2026,01/07/2026,5,5,1,5,5,2,,5,,,Goiânia- Go,PDV,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1262848166?title=casa
,BIKE4U,Sim,Felipe Gonçalves,Jaqueline Ventura,Cristiano Silveiro,06/07/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,Gerar 15 oportunidades por mês,"R$ 15,00",0,"0,00%",,,,,,,,,,,,,Aviso Prévio,,,,,,,V3," R$  5.000,00 ","R$ 3.500,00","R$ 1.700,00","R$ 1.800,00",,,,,,,,,,,,,,,,,,PDV,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1247987267?title=bike
,EMPORIO MERLO,Sim,Felipe Gonçalves,Jaqueline Ventura,Cristiano Silveiro,29/06/2026,FALSE,TRUE,TRUE,TRUE,⚫ CRITICAL,13,0,,,,,,,,,,,,,,,,,Aviso Prévio,,,,,,,V3," R$  4.079,00 ","R$ 1.000,00","R$ 1.000,00",,,,,28/01/2026,28/07/2026,,,,,,,,,,,,,PDV,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1247987267?title=bike
,MATEUS SUPLEMENTOS,Não,Felipe Gonçalves,Leonardo Volponi,Jaqueline Ventura,22/06/2026,TRUE,TRUE,TRUE,TRUE,🟢 SAFE,27,7,Gerar 200 leads no mês,"R$ 200,00",140,"70,00%",,,,,,,,"- Comparar o mês atual com o mês passado para vermos se houve aumento de geração de demanda;
",,,,,Antecipação,Sim,Gestão de Alerta (Alerta Técnico) - Mateus Suplementos,25/06/2026,,10/07/2026,,V1," R$  5.017,53 ","R$ 4.000,00","R$ 3.200,00","R$ 800,00",,,,26/05/2026,26/11/2026,,,,,,,,,,,,,PDV,,,,PIC Template - Mateus Suplementos,https://app.pipefy.com/apollo_databases/305733459/records/1357269373?title=mateus
