squad_id,cliente,account,arr,auditado,auditado_flag,churn_realizado,cidade,coordenador,criterio_mql,criterio_sql,csat_atendimento,csat_campanhas,csat_copy,csat_design,csat_prazo,csat_resultados,customer_care_status,data_atualizacao,data_inicio_contrato,data_vencimento_contrato,deadline_plano,drive_cliente,entregas_prazo,entregas_qualidade,fee,flag_calculada,flag_media,google_media_plan,gt,health_medio,justificativa_atrasos,justificativa_mql,justificativa_qualidade,justificativa_relacionamento,justificativa_resultado,kr1,kr2,kr3,last_csat_matriz,link_cac_mapeado,link_contrato,link_ekyte,link_growthpack,link_loop,link_pic,link_replanejamento,lt,meta_media_plan,meta_mql,mhs,modalidade_vendas,nota_atrasos,nota_mql,nota_qualidade,nota_relacionamento,nota_resultado,nps,objetivo_smart,pacing_kr1,pacing_kr2,pacing_kr3,plano_acao,pontuacao_ponderada,realizado_kr1,realizado_kr2,realizado_kr3,relacionamento,replanejamentos_q3,resultados,resumo_historico,saldo_conta_google,saldo_conta_meta,segment,start_plano,step,tem_loop_aberto,tier,total_media_plan
wall-street,NEW MOBLLY MOVEIS EM GERAL LTDA,Jaqueline Ventura,,Sim,,Não,São Paulo- SP,Felipe Gonçalves,,,5.0,3.0,3.0,3.0,4.0,2.0,Antecipação,2026-08-13,2022-04-22,2026-10-22,2026-07-15,,,,5077.0,🟡 AMARELO,,2500.0,Wesley Elioenai,,Há 2 tarefas ativas vencidas no Ekyte em 13/08; uma é interna (robô de follow-up) e outra depende do cliente.,"Foram 295 leads, mas as tags do CRM falharam e não há MQLs/taxa Lead→MQL mensuráveis; negociações e oportunidades não equivalem a MQL.",CRM funciona com bugs pontuais; a equipe já corrigiu parte das tags e combinou acompanhamento. Não houve aprovação inequívoca de entrega.,"Cliente participou ativamente das decisões sobre CRM, qualidade de leads, formulários e contratação de social media, validando os próximos testes.","De 01 a 12/08 foram 5 vendas e R$ 67.182 faturados com R$ 4.934 investidos; ROI informado de 1,2, acima de 1.",267000,"8,5",10000,2026-07-01,,https://app.pipefy.com/apollo_databases/305733459/records/1080125545?title=new,https://app.ekyte.com/#/projects/314287/edit,,Relatório de Gestão de Alerta - New Moblly - 10-07-2026,,https://chimerical-dodol-e68646.netlify.app/,54,6495.0,,,Inside Sales,1.0,1.0,2.0,3.0,4.0,6.0,"Gerar R$266.000,00 de faturamento","8,99%","78,00%","81,00%","- Criar LPs segmentadas por nicho;
- Usar criativos ligados aos negocios que mais geram ticket.
- Deixar o teste a/b com o mesmo valor do principal",63.0,24000,"6,63",8100,,,,"4 avaliações válidas (23/07, 30/07, 06/08, 13/08). M/A/Q/Rel/Res: 3/1/2/3/3 → 1/1/2/3/2 → 5/1/2/3/2 → 1/1/2/3/4. Resultado reagiu com ROI positivo, mas MQL e atrasos internos persistem. Tendência: melhorando (recuperação inicial) | flag histórica: vermelha | confiança alta.",,,,2026-07-10,V2,Não,,8945.0
wall-street,GB INSURANCE GROUP LTDA,Leonardo Volponi,,Não,,Não,,Felipe Gonçalves,,,,,,,,,Antecipação,2026-06-22,2025-06-27,2026-12-27,,,,,6352.0,,,,Jaqueline Ventura,,,,,,,15842,180,9,,,https://app.pipefy.com/apollo_databases/305733459/records/1169749991?title=gb,,,,,,18,4500.0,,,Inside Sales,,,,,,,"Gerar R$15.842,00 de lucro bruto","4,75%","155,56%","11,11%","- Mudança no CRM - Contato futuro; ✅
- Mudança no nosso SLA; ✅
- Cuidar para não gastar demais nos novos criativos e não focar na usina;
- Garantir que o atendimento não tenha mudança por conta da nova pergunta.
- Criar um plano para integradores.",,752,280,1,,,,,,,,,V2,Não,,4500.0
wall-street,Climber RMS,Leonardo Volponi,,,,Sim,,Felipe Gonçalves,,,,,,,,,Saudável,2026-06-22,2025-04-30,2026-10-30,,,,,6469.5,,,2803.0,Jaqueline Ventura,,,,,,,20,20,378,,,https://app.pipefy.com/apollo_databases/305733459/records/1141455640?title=climber,,,,,,,4868.0,,,SaaS,,,,,,10.0,Gerar 20 MQLs no mês,"65,00%","110,00%","89,42%",,,13,22,338,,,,,,,,,V2,Não,,7672.0
wall-street,SANVIMAX,Leonardo Volponi,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-22,2025-05-23,2026-11-23,,,,,4900.0,,,400.0,Jaqueline Ventura,,,,,,,34000,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1149371827?title=sanvimax,,,,,,,2400.0,,,Inside Sales,,,,,,,"Gerar R$34.000,00 de faturamento mês","0,00%",,,,,0,,,,,,,,,,,V2,,,2800.0
wall-street,FIMAQ,Leonardo Volponi,,,,Sim,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-22,2025-03-20,,,,,,4596.0,,,,Jaqueline Ventura,,,,,,,43600,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1102514683?title=fimaq,,,,,,,200.0,,,Inside Sales,,,,,,,"Gerar R$43.600,00 de faturamento mês","0,00%",,,,,0,,,,,,,,,,,V2,,,200.0
wall-street,TEM DISNEY EM PARIS,Leonardo Volponi,,,,Não,,Felipe Gonçalves,,,,,,,,,Tratativa,2026-06-22,2025-11-03,2026-11-03,,,,,4025.81,,,,Jaqueline Ventura,,,,,,,20,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1266750125?title=tem%20disney,,,,,,,2200.0,,,Inside Sales,,,,,,,Fazer 20 vendas,"15,00%",,,"- Jogar o valor do google ads para a Bio até destravar o tiktok;
- Calcular o CSQL da campanha com verificação de numero para ver se faz sentido comparado com outras frentes;
- Teste forms com o whatsapp no final.",,3,,,,,,,,,,,V1,,,3300.0
wall-street,CASA DUE HAIR CONCEPT,Jaqueline Ventura,,,,Não,Goiânia- Go,Felipe Gonçalves,,,5.0,2.0,5.0,5.0,5.0,1.0,Tratativa,2026-07-21,2025-11-28,2026-11-28,,,,,5117.84,🔴 VERMELHO,,1000.0,Wesley Elioenai,,O Ekyte não registra tarefas planejadas em atraso no projeto ativo.,"A reunião citou leads em etapas de orçamento ou combo como MQLs, sem evidência de atingimento de meta.",Não houve pedido de refação de entregáveis no encontro.,"Cliente participou ativamente, reconheceu pontos do fluxo e aderiu às ações de reativação e organização do CRM.",Não foram relatadas vendas ou atingimento de meta; a discussão focou em follow-up e reativação de leads.,14000,,,2026-07-01,,https://app.pipefy.com/apollo_databases/305733459/records/1262848166?title=casa,,,,,https://ornate-swan-ae27ff.netlify.app/,,1000.0,,,PDV,3.0,3.0,3.0,3.0,1.0,5.0,"Gerar R$14.000,00 de faturamento mês","0,00%",,,"- Subir publicações para melhorar a parte organica;
- Fazer disparo para a base com a promoção do mês;
- Construção do storytelling de novos conteudos: Empresária que precisa recuperar a confiança - Cliente ainda não enviou
- Resolver o traqueamento da campanha de mensagem.",69.0,0,,,,,,,,,,,V3,,,2000.0
wall-street,BIKE4U,Jaqueline Ventura,,,,Sim,,Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-07-06,,,,,,,5000.0,,,1800.0,Cristiano Silveiro,,,,,,,15,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1247987267?title=bike,,,,,,,1700.0,,,PDV,,,,,,,Gerar 15 oportunidades por mês,"0,00%",,,,,0,,,,,,,,,,,V3,,,3500.0
wall-street,EMPORIO MERLO,Jaqueline Ventura,,,,Sim,,Felipe Gonçalves,,,,,,,,,Aviso Prévio,2026-06-29,2026-01-28,2026-07-28,,,,,4079.0,,,,Cristiano Silveiro,,,,,,,,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1247987267?title=bike,,,,,,,1000.0,,,PDV,,,,,,,,,,,,,,,,,,,,,,,,V3,,,1000.0
wall-street,MATEUS SUPLEMENTOS,Leonardo Volponi,,,,Não,,Felipe Gonçalves,,,,,,,,,Antecipação,2026-06-22,2026-05-26,2026-11-26,2026-07-10,,,,5017.53,,,800.0,Jaqueline Ventura,,,,,,,200,,,,,https://app.pipefy.com/apollo_databases/305733459/records/1357269373?title=mateus,,,Gestão de Alerta (Alerta Técnico) - Mateus Suplementos,PIC Template - Mateus Suplementos,,,3200.0,,,PDV,,,,,,,Gerar 200 leads no mês,"70,00%",,,- Comparar o mês atual com o mês passado para vermos se houve aumento de geração de demanda;,,140,,,,,,,,,,2026-06-25,V1,Sim,,4000.0
